LanguageGroup;Austronesian
MaleNames;Wayan,Putra,Budi,Agus,Ketut,Bambang,Dewa,Arjuna,Ika,Lutfi,Joko,Eko,Rizal,Hari,Sakti,Andi,Mario,Surya,Rama,Fajar
FemaleNames;Sari,Dewi,Putri,Rani,Ayun,Indah,Melati,Ayu,Ningsih,Lestari,Siti,Mira,Anisa,Yuni,Fitri,Desi,Citra,Nina,Lina,Maya
Surnames;Santoso,Wijaya,Subrata,Setiawan,Ramli,Saputra,Halim,Mulyadi,Hadi,Susanto,Prasetyo,Wibowo,Yapto,Iskandar,Nugroho,Tan,Suryana,Basuki,Kurniawan,Yusuf
Region;Wilayah,Kawasan,Daerah,Bahagian,Tempat,Negeri,Kepulauan,Lokasi,Zona,Teritori
State;Negara,Provinsi,Bahagian,Kerajaan,Distrik,Kepulauan
Ocean;Lautan,Samudra,AirLuas,LautBesar
Sea;Laut,Sagara,Perairan,Bahari
Lake;Danau,Tasik,AirTenang,KolamBesar
DeepOcean;LautDalam,SamudraDalam,AirDalam
Mountain;Gunung,Bukit,Puncak,Ketinggian
Plains;Dataran,Padang,RataTanah,Sawah
Desert;PadangPasir,TanahGersang,DaerahKering
Tundra;TanahBeku,DaerahSejuk,PadangDingin
Forest;Hutan,Belantara,Rimba,PohonLebat
Jungle;RimbaLiar,HutanLepas,SemakLepat
Coast;Pesisir,TepiLaut,Pantai,TepiAir
Bay;Teluk,Semenanjung,Pelabuhan,Kuala
Gulf;TelukBesar,TelukLuas,TepiSamudra
CitySuffix;kota,dusun,kampung,desa,nagara,kabupaten
CityPrefix;Baru,Lama,Utara,Selatan,Timur,Barat,Putra,Raja,Bandar,Tengah
RiverNames;Kapuas,Musi,Brantas,Barito,Progo,Serayu,Mahakam,Citarum,Ciliwung,Rejang
MountainNames;Batur,Merapi,Rinjani,Semeru,Agung,Sibayak,Tambora,Kerinci,Sinabung,BukitBarisan
GenericWords;Air,Api,Tanah,Langit,Bintang,Matahari,Bulan,Awan,Hujan,Petir,Guruh,Pohon,Daun,Bunga,Buah,Batu,Pasir,TanahLiat,Laut,Danau,Sungai,Hutan,Rimba,Padang,Gunung,Lembah,Puncak,Tebing,Tepi,Terumbu,Kepulauan,Pulau,Kampung,Kota,Desa,Nagara,Rumah,Halaman,Pintu,Jendela,Jalan,Jembatan,Perahu,Kapal,Pasar,Toko,Warna,Cahaya,Suara,Bunyi,Senyap,Gelap,Terang,Nafas,Hati,Nafsu,Jiwo,Badan,Kulit,Rambut,Mata,Hidung,Mulut,Tangan,Kaki,Tulang,Darah,Nyawa,Anak,Ibu,Bapa,Kakak,Adik,Keluarga,Sahabat,Musuh,Cinta,Benci,Harapan,Takut,Sakit,Sehat,Senang,Sedih,Tertawa,Menangis,Mimpi,Lelaki,Perempuan,Tua,Muda,Bayi,Orang,Tetangga,Pekerjaan,Kerja,Belajar,Ilmu,Buku,Kata,Bahasa,Lagu,Tarian,Seni,Alat,Senjata,Tombak,Panah,Pelindung,Perisai,Perang,Damai,Raja,Ratu,Pemimpin,Wakil,Utusan,Hukum,Adat,Tradisi,Kebiasaan,Ritual,Upacara,Roh,Arwah,Surga,Neraka,Tuhan,Dewa,Dewi,Pahlawan,Cerita,Sejarah,Legenda,Tempat,Suci,Kuil,Masjid,Gereja,PohonKeramat,BatuKeramat,SenjataSuci,BulanPurnama,CahayaRemang,Aroma,ApiSuci,LangitTerbuka,PetirMalam,Gemuruh,SuaraGaib,AlamHalus,DimensiLain,KekuatanRohani,PenjagaGerbang,PenjelajahRoh,AnakMatahari,PutriLaut,AyahGunung,IbuBumi,BerandaLangit
